"nodes__abbr,""nodes__name"",""nodes__group"",""links__source"",""links__target"",""links__value"""
"AL,""Alabama"",""6"",""0"",""8"",""4"""
"AR,""Arkansas"",""7"",""0"",""9"",""4"""
"AZ,""Arizona"",""8"",""0"",""23"",""4"""
"CA,""California"",""9"",""0"",""40"",""4"""
"CO,""Colorado"",""8"",""1"",""16"",""4"""
"CT,""Connecticut"",""1"",""1"",""22"",""4"""
"DC,""DC"",""5"",""1"",""23"",""4"""
"DE,""Delaware"",""5"",""1"",""34"",""4"""
"FL,""Florida"",""5"",""1"",""40"",""4"""
"GA,""Georgia"",""5"",""1"",""41"",""4"""
"IA,""Iowa"",""4"",""2"",""3"",""4"""
"ID,""Idaho"",""8"",""2"",""30"",""4"""
"IL,""Illinois"",""3"",""2"",""31"",""4"""
"IN,""Indiana"",""3"",""2"",""42"",""4"""
"KS,""Kansas"",""4"",""3"",""31"",""4"""
"KY,""Kentucky"",""6"",""3"",""35"",""4"""
"LA,""Louisiana"",""7"",""4"",""14"",""4"""
"MA,""Massachusetts"",""1"",""4"",""27"",""4"""
"MD,""Maryland"",""5"",""4"",""30"",""4"""
"ME,""Maine"",""1"",""4"",""34"",""4"""
"MI,""Michigan"",""3"",""4"",""42"",""4"""
"MN,""Minnesota"",""4"",""4"",""48"",""4"""
"MO,""Missouri"",""7"",""5"",""17"",""4"""
"MS,""Mississippi"",""6"",""5"",""32"",""4"""
"MT,""Montana"",""8"",""5"",""37"",""4"""
"NC,""North Carolina"",""5"",""6"",""18"",""4"""
"ND,""North Dakota"",""4"",""6"",""43"",""4"""
"NE,""Nebraska"",""4"",""7"",""18"",""4"""
"NH,""New Hampshire"",""1"",""7"",""29"",""4"""
"NJ,""New Jersey"",""2"",""7"",""36"",""4"""
"NM,""New Mexico"",""8"",""8"",""9"",""4"""
"NV,""Nevada"",""8"",""9"",""25"",""4"""
"NY,""New York"",""2"",""9"",""38"",""4"""
"OH,""Ohio"",""3"",""9"",""40"",""4"""
"OK,""Oklahoma"",""7"",""10"",""12"",""4"""
"OR,""Oregon"",""9"",""10"",""21"",""4"""
"PA,""Pennsylvania"",""2"",""10"",""22"",""4"""
"RI,""Rhode Island"",""1"",""10"",""27"",""4"""
"SC,""South Carolina"",""5"",""10"",""39"",""4"""
"SD,""South Dakota"",""4"",""10"",""46"",""4"""
"TN,""Tennessee"",""6"",""11"",""24"",""4"""
"TX,""Texas"",""7"",""11"",""31"",""4"""
"UT,""Utah"",""8"",""11"",""35"",""4"""
"VA,""Virginia"",""5"",""11"",""42"",""4"""
"VT,""Vermont"",""1"",""11"",""45"",""4"""
"WA,""Washington"",""9"",""11"",""48"",""4"""
"WI,""Wisconsin"",""3"",""12"",""13"",""4"""
"WV,""West Virginia"",""5"",""12"",""15"",""4"""
"WY,""Wyoming"",""8"",""12"",""22"",""4"""
","""","""",""12"",""46"",""4"""
","""","""",""13"",""15"",""4"""
","""","""",""13"",""20"",""4"""
","""","""",""13"",""33"",""4"""
","""","""",""14"",""22"",""4"""
","""","""",""14"",""27"",""4"""
","""","""",""14"",""34"",""4"""
","""","""",""15"",""22"",""4"""
","""","""",""15"",""33"",""4"""
","""","""",""15"",""40"",""4"""
","""","""",""15"",""43"",""4"""
","""","""",""15"",""47"",""4"""
","""","""",""16"",""23"",""4"""
","""","""",""16"",""41"",""4"""
","""","""",""17"",""28"",""4"""
","""","""",""17"",""32"",""4"""
","""","""",""17"",""37"",""4"""
","""","""",""17"",""44"",""4"""
","""","""",""18"",""36"",""4"""
","""","""",""18"",""43"",""4"""
","""","""",""18"",""47"",""4"""
","""","""",""19"",""28"",""4"""
","""","""",""20"",""33"",""4"""
","""","""",""20"",""46"",""4"""
","""","""",""21"",""26"",""4"""
","""","""",""21"",""39"",""4"""
","""","""",""21"",""46"",""4"""
","""","""",""22"",""27"",""4"""
","""","""",""22"",""34"",""4"""
","""","""",""22"",""40"",""4"""
","""","""",""23"",""40"",""4"""
","""","""",""24"",""26"",""4"""
","""","""",""24"",""39"",""4"""
","""","""",""24"",""48"",""4"""
","""","""",""25"",""38"",""4"""
","""","""",""25"",""40"",""4"""
","""","""",""25"",""43"",""4"""
","""","""",""26"",""39"",""4"""
","""","""",""27"",""39"",""4"""
","""","""",""27"",""48"",""4"""
","""","""",""28"",""44"",""4"""
","""","""",""29"",""32"",""4"""
","""","""",""29"",""36"",""4"""
","""","""",""30"",""34"",""4"""
","""","""",""30"",""41"",""4"""
","""","""",""31"",""35"",""4"""
","""","""",""31"",""42"",""4"""
","""","""",""32"",""36"",""4"""
","""","""",""32"",""44"",""4"""
","""","""",""33"",""36"",""4"""
","""","""",""33"",""47"",""4"""
","""","""",""34"",""41"",""4"""
","""","""",""35"",""45"",""4"""
","""","""",""36"",""47"",""4"""
","""","""",""39"",""48"",""4"""
","""","""",""40"",""43"",""4"""
","""","""",""42"",""48"",""4"""
","""","""",""43"",""47"",""4"""